"SampleID"	"SiteID"	"Layer"	"Moisture"	"SOM"	"SOC"	"New_Layer"	"Lake"	"Lat"	"Long"	"Habitat"	"sobs"	"chao"	"coverage"	"shannon"	"simpson"
"1"	"10A2"	"10A"	2	25.67681586	21.22068078	12.30897957	"Shallow"	"Polley_Lake"	52.53216	-121.58716	"B"	838	1969.239316	0.822353	5.704564	0.009452
"2"	"10A3"	"10A"	3	8.811603937	10.47979593	6.07876794	"Deep"	"Polley_Lake"	52.53216	-121.58716	"B"	1307	3846.558659	0.667596	6.350891	0.007115
"3"	"10A4"	"10A"	4	8.596960504	3.095401585	1.795476557	"Deep"	"Polley_Lake"	52.53216	-121.58716	"B"	864	2154.618321	0.798127	5.562425	0.01247
"4"	"10A5"	"10A"	5	26.53172605	7.354306727	4.265839169	"Sediment"	"Polley_Lake"	52.53216	-121.58716	"B"	507	1228.444444	0.898179	4.474553	0.044446
"5"	"10A6"	"10A"	6	21.92187081	4.207925697	2.440792168	"Sediment"	"Polley_Lake"	52.53216	-121.58716	"B"	553	1215.012195	0.888174	4.781864	0.031322
"6"	"11A4"	"11A"	4	14.4448661	24.43367234	14.17266377	"Deep"	"Polley_Lake"	52.53147	-121.58853	"A"	1366	3811.005128	0.64957	6.526979	0.005332
"7"	"11A5"	"11A"	5	20.33211212	11.65986395	6.763262149	"Sediment"	"Polley_Lake"	52.53147	-121.58853	"A"	977	2268.125	0.783793	5.932592	0.00782
"8"	"11A6"	"11A"	6	30.57674823	17.81308127	10.33241373	"Sediment"	"Polley_Lake"	52.53147	-121.58853	"A"	1117	2611.859551	0.747142	6.157913	0.006869
"9"	"12A1"	"12A"	1	15.42193949	30.72783838	17.82357214	"Shallow"	"Quesnel_Lake"	52.50383	-121.50623	"E"	1497	3575.47619	0.631389	6.925354	0.001424
"10"	"12A2"	"12A"	2	11.52495425	32.74258773	18.99222026	"Shallow"	"Quesnel_Lake"	52.50383	-121.50623	"E"	1466	4123.528037	0.619472	6.736245	0.002874
"11"	"14A1"	"14A"	1	42.56265922	207.1429955	120.1525496	"Shallow"	"Quesnel_Lake"	52.50768	-121.48987	"C"	1497	3661.363636	0.622836	6.976179	0.001131
