SampleID,SiteID,Habitat,Disturbed
10A3,10A,B,Natural
10A2,10A,B,Natural
10A4,10A,B,Natural
10A5,10A,B,Natural
10A6,10A,B,Natural
11A4,11A,A,Natural
11A5,11A,A,Natural
11A6,11A,A,Natural
12A1,12A,E,Disturbed
12A2,12A,E,Disturbed
13A1,13A,F,Disturbed
13A2,13A,F,Disturbed
13A3,13A,F,Disturbed
13A4,13A,F,Disturbed
14A1,14A,C,Natural
14A3,14A,C,Natural
14A4,14A,C,Natural
14A5,14A,C,Natural
14A6,14A,C,Natural
15A1,15A,D,Disturbed
15A2,15A,D,Disturbed
15A3,15A,D,Disturbed
15A4,15A,D,Disturbed
15A5,15A,D,Disturbed
15A6,15A,D,Disturbed
16A2,16A,D,Disturbed
16A5,16A,D,Disturbed
16A6,16A,D,Disturbed
17A1,17A,C,Natural
17A2,17A,C,Natural
17A3,17A,C,Natural
17A4,17A,C,Natural
17A5,17A,C,Natural
17A6,17A,C,Natural
18A1,18A,C,Natural
18A2,18A,C,Natural
18A3,18A,C,Natural
18A4,18A,C,Natural
18A5,18A,C,Natural
18A6,18A,C,Natural
19A1,19A,D,Disturbed
19A2,19A,D,Disturbed
19A3,19A,D,Disturbed
19A5,19A,D,Disturbed
1A1,1A,A,Natural
1A2,1A,A,Natural
1A4,1A,A,Natural
1A5,1A,A,Natural
1A6,1A,A,Natural
20A1,20A,A,Natural
20A2,20A,A,Natural
20A3,20A,A,Natural
20A4,20A,A,Natural
20A5,20A,A,Natural
21A1,21A,A,Natural
21A2,21A,A,Natural
21A3,21A,A,Natural
21A4,21A,A,Natural
21A5,21A,A,Natural
22A1,22A,A,Natural
22A3,22A,A,Natural
22A4,22A,A,Natural
22A6,22A,A,Natural
23A3,23A,A,Natural
23A4,23A,A,Natural
23A5,23A,A,Natural
24A1,24A,C,Natural
24A2,24A,C,Natural
24A3,24A,C,Natural
24A4,24A,C,Natural
24A5,24A,C,Natural
24A6,24A,C,Natural
25A1,25A,A,Natural
25A2,25A,A,Natural
25A3,25A,A,Natural
25A4,25A,A,Natural
25A5,25A,A,Natural
25A6,25A,A,Natural
26A3,26A,C,Natural
26A5,26A,C,Natural
26A6,26A,C,Natural
27A1,27A,A,Natural
27A5,27A,A,Natural
28A1,28A,A,Natural
28A2,28A,A,Natural
28A3,28A,A,Natural
28A6,28A,A,Natural
29A1,29A,B,Natural
29A2,29A,B,Natural
29A4,29A,B,Natural
29A5,29A,B,Natural
29A6,29A,B,Natural
29A3,29A,B,Natural
2A1,2A,B,Natural
2A2,2A,B,Natural
2A5,2A,B,Natural
2A6,2A,B,Natural
30A1,30A,C,Natural
30A2,30A,C,Natural
30A3,30A,C,Natural
30A4,30A,C,Natural
30A5,30A,C,Natural
30A6,30A,C,Natural
31A1,31A,B,Natural
31A2,31A,B,Natural
31A3,31A,B,Natural
31A4,31A,B,Natural
31A5,31A,B,Natural
31A6,31A,B,Natural
32A1,32A,C,Natural
32A2,32A,C,Natural
32A3,32A,C,Natural
32A4,32A,C,Natural
32A5,32A,C,Natural
32A6,32A,C,Natural
33A1,33A,A,Natural
33A2,33A,A,Natural
33A4,33A,A,Natural
33A5,33A,A,Natural
33A6,33A,A,Natural
34A3,34A,F,Disturbed
34A4,34A,F,Disturbed
34A5,34A,F,Disturbed
35A2,35A,E,Disturbed
36A1,36A,F,Disturbed
36A4,36A,F,Disturbed
37A1,37A,F,Disturbed
37A2,37A,F,Disturbed
37A3,37A,F,Disturbed
37A5,37A,F,Disturbed
37A6,37A,F,Disturbed
38A1,38A,F,Disturbed
38A2,38A,F,Disturbed
38A3,38A,F,Disturbed
39A1,39A,F,Disturbed
39A2,39A,F,Disturbed
3A2,3A,B,Natural
3A4,3A,B,Natural
3A5,3A,B,Natural
3A6,3A,B,Natural
40A1,40A,F,Disturbed
41A3,41A,F,Disturbed
41A4,41A,F,Disturbed
41A1,41A,F,Disturbed
42A1,42A,F,Disturbed
42A3,42A,F,Disturbed
42A4,42A,F,Disturbed
43A3,43A,F,Disturbed
44A2,44A,F,Disturbed
44A1,44A,F,Disturbed
45A1,45A,F,Disturbed
45A6,45A,F,Disturbed
46A1,46A,F,Disturbed
46A6,46A,F,Disturbed
47A2,47A,F,Disturbed
47A5,47A,F,Disturbed
48A1,48A,F,Disturbed
48A2,48A,F,Disturbed
48A3,48A,F,Disturbed
48A4,48A,F,Disturbed
49A1,49A,F,Disturbed
49A3,49A,F,Disturbed
4A2,4A,D,Disturbed
4A3,4A,D,Disturbed
4A4,4A,D,Disturbed
4A5,4A,D,Disturbed
4A6,4A,D,Disturbed
50A4,50A,F,Disturbed
51A6,51A,F,Disturbed
52A1,52A,C,Natural
53A3,53A,C,Natural
53A4,53A,C,Natural
53A5,53A,C,Natural
54A5,54A,C,Natural
54A6,54A,C,Natural
55A1,55A,D,Disturbed
55A4,55A,D,Disturbed
56A1,56A,C,Natural
56A2,56A,C,Natural
56A3,56A,C,Natural
56A4,56A,C,Natural
56A6,56A,C,Natural
57A3,57A,D,Disturbed
57A4,57A,D,Disturbed
58A2,58A,E,Disturbed
58A4,58A,E,Disturbed
58A5,58A,E,Disturbed
58A6,58A,E,Disturbed
59A3,59A,B,Natural
59A4,59A,B,Natural
5A1,5A,A,Natural
5A2,5A,A,Natural
5A3,5A,A,Natural
5A4,5A,A,Natural
5A5,5A,A,Natural
5A6,5A,A,Natural
60A1,60A,E,Disturbed
60A2,60A,E,Disturbed
60A3,60A,E,Disturbed
60A6,60A,E,Disturbed
6A1,6A,E,Disturbed
6A2,6A,E,Disturbed
6A3,6A,E,Disturbed
6A4,6A,E,Disturbed
6A5,6A,E,Disturbed
6A6,6A,E,Disturbed
7A2,7A,C,Natural
7A4,7A,C,Natural
7A5,7A,C,Natural
7A6,7A,C,Natural
8A2,8A,A,Natural
8A3,8A,A,Natural
8A5,8A,A,Natural
8A6,8A,A,Natural
9A1,9A,C,Natural
9A3,9A,C,Natural
9A4,9A,C,Natural
9A5,9A,C,Natural
9A6,9A,C,Natural
